customer_id,name,age,subscription_plan,monthly_charges,tenure_months,support_calls,last_login_days,churned
1,Alice,25,Basic,29,2,5,45,1
2,Bob,45,Premium,99,36,1,5,0
3,Carol,32,Basic,29,4,4,30,1
4,David,52,Premium,99,48,0,3,0
5,Emma,28,Basic,29,1,6,60,1
6,Frank,38,Standard,59,24,2,10,0
7,Grace,41,Premium,99,60,1,2,0
8,Henry,29,Basic,29,3,5,50,1
9,Irene,55,Standard,59,12,3,15,0
10,James,33,Premium,99,42,0,4,0
11,Kate,47,Basic,29,5,6,55,1
12,Leo,31,Standard,59,18,2,12,0
13,Mia,26,Basic,29,2,7,70,1
14,Nick,43,Premium,99,54,0,1,0
15,Olivia,37,Standard,59,30,1,8,0
16,Paul,50,Premium,99,45,1,6,0
17,Quinn,29,Basic,29,1,8,65,1
18,Rose,34,Standard,59,22,2,9,0
19,Sam,48,Premium,99,38,0,3,0
20,Tina,27,Basic,29,3,5,40,1
